2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2018,1319,2415,2250,2018,2030,2943,1576,1616,2004,2028,2100,2025,1658,1105,2004,2124,2427,3015,2116,1973,1960
2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2018,1319,2415,2250,2018,2030,2943,1576,1616,2004,2028,2100,2025,1658,1105,2004,2124,2427,3015,2116,1973,1960
2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2018,1319,2415,2250,2018,2030,2943,1576,1616,2004,2028,2100,2025,1658,1105,2004,2124,2427,3015,2116,1973,1960
2049,1336,2302,2281,2045,2040,2883,1694,1566,1976,2069,2117,2051,1653,1068,1977,2122,2429,3049,2143,1974,1960
2051,1336,2304,2276,2040,2041,2915,1334,1260,1994,2069,2117,2033,1654,1070,1978,2122,2429,3046,2143,1975,1960
2048,1255,2315,2154,2040,2043,2739,1642,1413,2005,2084,2117,2076,1655,1078,1979,2124,2429,3042,2142,1972,1960
2044,1207,2218,2040,2039,2044,2812,1693,1515,2008,2082,2117,2076,1655,1083,1981,2127,2429,3036,2141,1970,1961
2044,1176,2573,2367,2040,2040,2807,1682,1520,2009,2082,2117,2077,1655,1085,1982,2127,2429,3034,2140,1969,1960
2018,1319,2415,2250,2018,2030,2943,1576,1616,2004,2028,2100,2025,1658,1105,2004,2124,2427,3015,2116,1973,1960

0.07	Smooth
0.08	Smooth
0.09	Smooth
0.08	Smooth
0.08	Smooth
0.08	Smooth
0.07	Smooth
0.08	Smooth
0.09	Smooth
0.08	Smooth
0.08	Smooth
0.08	Smooth
0.07	Smooth
0.08	Smooth
0.09	Smooth
0.08	Smooth
0.08	Smooth
0.08	Smooth
0.07	Smooth
0.08	Smooth
0.09	Smooth
0.08	Smooth
0.08	Smooth
0.08	Smooth
