2044,1291,2325,2172,2021,2017,2925,1716,1704,1976,2074,2120,2071,1651,1057,1973,2112,2432,3064,2144,1980,1961
1982,1358,2265,2322,2041,2066,2790,1414,1125,1983,2052,2112,2050,1649,1034,1964,2104,2436,3077,2144,1988,1965
2027,1282,2336,2279,2035,1991,2639,1660,1260,1970,2058,2112,2073,1649,1037,1966,2105,2435,3071,2144,1988,1964
2074,1215,2296,2122,2034,2036,2783,1581,1378,1967,2062,2115,2072,1650,1044,1968,2107,2434,3071,2144,1986,1963
2071,1255,2548,2434,2033,2081,2778,1556,1382,1977,2057,2113,2073,1650,1048,1970,2109,2434,3066,2145,1986,1962
2015,1344,2391,2311,2017,2037,2881,1605,1535,2006,2078,2113,2072,1652,1062,1975,2120,2430,3053,2144,1977,1959
2044,1291,2325,2172,2021,2017,2925,1716,1704,1976,2074,2120,2071,1651,1057,1973,2112,2432,3064,2144,1980,1961
1982,1358,2265,2322,2041,2066,2790,1414,1125,1983,2052,2112,2050,1649,1034,1964,2104,2436,3077,2144,1988,1965
2027,1282,2336,2279,2035,1991,2639,1660,1260,1970,2058,2112,2073,1649,1037,1966,2105,2435,3071,2144,1988,1964
2074,1215,2296,2122,2034,2036,2783,1581,1378,1967,2062,2115,2072,1650,1044,1968,2107,2434,3071,2144,1986,1963
2071,1255,2548,2434,2033,2081,2778,1556,1382,1977,2057,2113,2073,1650,1048,1970,2109,2434,3066,2145,1986,1962
2015,1344,2391,2311,2017,2037,2881,1605,1535,2006,2078,2113,2072,1652,1062,1975,2120,2430,3053,2144,1977,1959
2044,1291,2325,2172,2021,2017,2925,1716,1704,1976,2074,2120,2071,1651,1057,1973,2112,2432,3064,2144,1980,1961
1982,1358,2265,2322,2041,2066,2790,1414,1125,1983,2052,2112,2050,1649,1034,1964,2104,2436,3077,2144,1988,1965
2027,1282,2336,2279,2035,1991,2639,1660,1260,1970,2058,2112,2073,1649,1037,1966,2105,2435,3071,2144,1988,1964
2074,1215,2296,2122,2034,2036,2783,1581,1378,1967,2062,2115,2072,1650,1044,1968,2107,2434,3071,2144,1986,1963
2071,1255,2548,2434,2033,2081,2778,1556,1382,1977,2057,2113,2073,1650,1048,1970,2109,2434,3066,2145,1986,1962
2015,1344,2391,2311,2017,2037,2881,1605,1535,2006,2078,2113,2072,1652,1062,1975,2120,2430,3053,2144,1977,1959
2044,1291,2325,2172,2021,2017,2925,1716,1704,1976,2074,2120,2071,1651,1057,1973,2112,2432,3064,2144,1980,1961
1982,1358,2265,2322,2041,2066,2790,1414,1125,1983,2052,2112,2050,1649,1034,1964,2104,2436,3077,2144,1988,1965
2027,1282,2336,2279,2035,1991,2639,1660,1260,1970,2058,2112,2073,1649,1037,1966,2105,2435,3071,2144,1988,1964
2074,1215,2296,2122,2034,2036,2783,1581,1378,1967,2062,2115,2072,1650,1044,1968,2107,2434,3071,2144,1986,1963
2071,1255,2548,2434,2033,2081,2778,1556,1382,1977,2057,2113,2073,1650,1048,1970,2109,2434,3066,2145,1986,1962
2015,1344,2391,2311,2017,2037,2881,1605,1535,2006,2078,2113,2072,1652,1062,1975,2120,2430,3053,2144,1977,1959

0.08	Stop
0.08	Stop
0.08	Stop
0.09	Stop
0.09	Stop
0.08	Stop
0.08	Stop
0.08	Stop
0.08	Stop
0.09	Stop
0.09	Stop
0.08	Stop
0.08	Stop
0.08	Stop
0.08	Stop
0.09	Stop
0.09	Stop
0.08	Stop
0.08	Stop
0.08	Stop
0.08	Stop
0.09	Stop
0.09	Stop
0.08	Stop
