0.28532,-0.802272,0.16567,0.596719,0.394233,0.269981,0.740913,-0.162602,-1.092194,0.357418,0.052155,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598253,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.16567,0.596718,0.394233,0.269981,0.740913,-0.162602,-1.092194,0.357418,0.052155,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598253,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.165669,0.596718,0.394233,0.269981,0.740913,-0.162602,-1.092194,0.357418,0.052155,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598253,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.165669,0.596717,0.394233,0.269981,0.740913,-0.162602,-1.092194,0.357418,0.052155,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598253,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.165668,0.596716,0.394233,0.26998,0.740913,-0.162602,-1.092194,0.357418,0.052155,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598253,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.165666,0.596714,0.394233,0.26998,0.740913,-0.162602,-1.092194,0.357418,0.052155,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598252,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.165664,0.596712,0.394233,0.26998,0.740913,-0.162602,-1.092194,0.357418,0.052156,0.105845,0.052155,-0.819146,-1.581534,-0.131922,0.072097,0.598252,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.16566,0.596709,0.394233,0.26998,0.740913,-0.162601,-1.092194,0.357417,0.052156,0.105845,0.052156,-0.819146,-1.581534,-0.131922,0.072097,0.598252,-0.001534,1.550855,-0.088971,-0.128854
0.28532,-0.802272,0.165657,0.596705,0.394233,0.26998,0.740913,-0.162601,-1.092194,0.357417,0.052156,0.105845,0.052156,-0.819146,-1.581534,-0.131922,0.072097,0.598252,-0.001534,1.550856,-0.088971,-0.128854
0.28532,-0.802272,0.165652,0.5967,0.394233,0.26998,0.740914,-0.162601,-1.092194,0.357417,0.052156,0.105844,0.052156,-0.819146,-1.581535,-0.131922,0.072097,0.598252,-0.001534,1.550856,-0.088971,-0.128854
0.28532,-0.802272,0.165646,0.596694,0.394233,0.269979,0.740914,-0.162601,-1.092193,0.357417,0.052156,0.105844,0.052156,-0.819146,-1.581535,-0.131922,0.072097,0.598252,-0.001534,1.550857,-0.088971,-0.128855
0.28532,-0.802272,0.165639,0.596687,0.394233,0.269979,0.740914,-0.1626,-1.092193,0.357417,0.052156,0.105844,0.052156,-0.819146,-1.581535,-0.131922,0.072097,0.598252,-0.001534,1.550858,-0.088971,-0.128855
0.28532,-0.802272,0.16563,0.596678,0.394234,0.269978,0.740915,-0.1626,-1.092193,0.357417,0.052156,0.105844,0.052156,-0.819146,-1.581535,-0.131922,0.072097,0.598252,-0.001534,1.550858,-0.088971,-0.128855
0.28532,-0.802272,0.165621,0.596669,0.394234,0.269978,0.740915,-0.162599,-1.092192,0.357417,0.052157,0.105844,0.052156,-0.819146,-1.581535,-0.131922,0.072097,0.598252,-0.001534,1.550859,-0.088971,-0.128855
0.28532,-0.802272,0.16561,0.596657,0.394234,0.269977,0.740916,-0.162599,-1.092192,0.357417,0.052157,0.105844,0.052157,-0.819146,-1.581536,-0.131923,0.072097,0.598252,-0.001534,1.55086,-0.088971,-0.128855
0.28532,-0.802272,0.165597,0.596645,0.394234,0.269977,0.740916,-0.162598,-1.092192,0.357417,0.052157,0.105844,0.052157,-0.819146,-1.581536,-0.131923,0.072096,0.598252,-0.001535,1.550862,-0.088971,-0.128855
0.28532,-0.802272,0.165583,0.59663,0.394234,0.269976,0.740917,-0.162597,-1.092191,0.357417,0.052158,0.105844,0.052157,-0.819146,-1.581536,-0.131923,0.072096,0.598252,-0.001535,1.550863,-0.088971,-0.128855
0.28532,-0.802272,0.165567,0.596614,0.394234,0.269975,0.740918,-0.162596,-1.09219,0.357417,0.052158,0.105843,0.052158,-0.819146,-1.581537,-0.131923,0.072096,0.598252,-0.001535,1.550865,-0.088971,-0.128855
0.28532,-0.802272,0.165549,0.596596,0.394234,0.269974,0.740919,-0.162595,-1.09219,0.357417,0.052158,0.105843,0.052158,-0.819146,-1.581537,-0.131923,0.072096,0.598252,-0.001535,1.550866,-0.088972,-0.128855
0.28532,-0.802272,0.16553,0.596577,0.394235,0.269973,0.74092,-0.162594,-1.092189,0.357417,0.052159,0.105843,0.052159,-0.819146,-1.581537,-0.131923,0.072096,0.598252,-0.001535,1.550868,-0.088972,-0.128855
